                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    153,                 1.8378,                 1.0285,                0.89657,                0.72862,                0.56121,                0.55599,                0.15935,                 2.5358,                 1.7601,                 1.0086,              0.0011653,              0.0011653,              0.0011653
                    154,                 1.8997,                 1.0255,                0.89785,                0.72862,                0.56121,                0.55599,                0.15935,                 2.5358,                 1.7601,                 1.0086,               0.001162,               0.001162,               0.001162
                    155,                 1.8588,                 1.0415,                0.94581,                0.40295,                0.45833,                0.35107,                0.11783,                 2.7424,                 1.9249,                 1.0344,              0.0011587,              0.0011587,              0.0011587
                    156,                 1.8962,                0.99919,                0.89819,                0.40295,                0.45833,                0.35107,                0.11783,                 2.7424,                 1.9249,                 1.0344,              0.0011554,              0.0011554,              0.0011554
                    157,                 1.7628,                 1.0423,                0.91584,                0.32539,                0.48214,                0.31667,                0.10414,                  2.871,                  1.946,                 1.0473,              0.0011521,              0.0011521,              0.0011521
                    158,                 1.9131,                 1.0634,                0.92039,                0.32539,                0.48214,                0.31667,                0.10414,                  2.871,                  1.946,                 1.0473,              0.0011488,              0.0011488,              0.0011488
                    159,                 1.9006,                 1.0986,                0.87141,                0.47654,                0.53571,                0.44925,                0.11278,                 2.8704,                 1.7804,                 1.0374,              0.0011455,              0.0011455,              0.0011455
                    160,                 1.7329,                 1.0444,                 0.9489,                0.47654,                0.53571,                0.44925,                0.11278,                 2.8704,                 1.7804,                 1.0374,              0.0011422,              0.0011422,              0.0011422
                    161,                 2.1143,                 1.3467,                0.91279,                0.61671,                0.55952,                0.61229,                0.18551,                 2.6928,                 1.5901,                 1.0076,              0.0011389,              0.0011389,              0.0011389
                    162,                 1.9109,                0.94862,                0.95097,                0.61671,                0.55952,                0.61229,                0.18551,                 2.6928,                 1.5901,                 1.0076,              0.0011356,              0.0011356,              0.0011356
                    163,                 1.9469,                0.95917,                0.93442,                 0.6778,                0.77039,                0.77306,                 0.2409,                 2.6154,                 1.5271,                 0.9892,              0.0011323,              0.0011323,              0.0011323
                    164,                 1.9013,                0.94033,                0.92231,                 0.6778,                0.77039,                0.77306,                 0.2409,                 2.6154,                 1.5271,                 0.9892,               0.001129,               0.001129,               0.001129
                    165,                 1.8204,                0.98237,                0.88585,                0.67505,                0.71986,                0.70162,                0.25978,                 2.5479,                  1.562,                 0.9711,              0.0011257,              0.0011257,              0.0011257
                    166,                 1.9211,                  1.018,                0.90394,                0.67505,                0.71986,                0.70162,                0.25978,                 2.5479,                  1.562,                 0.9711,              0.0011224,              0.0011224,              0.0011224
                    167,                 1.8912,                 1.0495,                0.88518,                0.65054,                0.77059,                0.71853,                0.24707,                 2.5608,                 1.8847,                 0.9698,              0.0011191,              0.0011191,              0.0011191
                    168,                 1.7657,                 1.0145,                0.89738,                0.65054,                0.77059,                0.71853,                0.24707,                 2.5608,                 1.8847,                 0.9698,              0.0011158,              0.0011158,              0.0011158
                    169,                 1.8964,                 1.0904,                0.89174,                0.64178,                0.77544,                0.71073,                0.19375,                 2.6705,                 2.0437,                0.99445,              0.0011125,              0.0011125,              0.0011125
                    170,                 1.7889,                 1.0317,                0.87083,                0.64178,                0.77544,                0.71073,                0.19375,                 2.6705,                 2.0437,                0.99445,              0.0011092,              0.0011092,              0.0011092
                    171,                  2.004,                 1.1092,                 0.8844,                0.66473,                0.78197,                 0.7143,                0.18104,                 2.7038,                 1.7712,                 1.0099,              0.0011059,              0.0011059,              0.0011059
                    172,                 2.1657,                 1.3437,                0.90185,                0.66473,                0.78197,                 0.7143,                0.18104,                 2.7038,                 1.7712,                 1.0099,              0.0011026,              0.0011026,              0.0011026
                    173,                 2.3128,                 1.1922,                0.89384,                0.77622,                 0.6609,                0.71607,                0.21904,                 2.6178,                 1.5777,                 1.0123,              0.0010993,              0.0010993,              0.0010993
                    174,                 1.7213,                0.95024,                0.86205,                0.77622,                 0.6609,                0.71607,                0.21904,                 2.6178,                 1.5777,                 1.0123,               0.001096,               0.001096,               0.001096
                    175,                  1.872,                 1.0635,                 0.8964,                0.73777,                0.66402,                0.67044,                0.21188,                 2.6501,                  1.594,                 1.0266,              0.0010927,              0.0010927,              0.0010927
                    176,                 1.8765,                 1.0776,                0.89691,                0.73777,                0.66402,                0.67044,                0.21188,                 2.6501,                  1.594,                 1.0266,              0.0010894,              0.0010894,              0.0010894
                    177,                  2.036,                0.98585,                0.94535,                0.67712,                0.55952,                0.55774,                0.21199,                 2.7263,                 1.7023,                 1.0376,              0.0010861,              0.0010861,              0.0010861
                    178,                 2.0776,                 1.1673,                0.91629,                0.67712,                0.55952,                0.55774,                0.21199,                 2.7263,                 1.7023,                 1.0376,              0.0010828,              0.0010828,              0.0010828
                    179,                 2.0848,                 1.1579,                0.94629,                0.82943,                0.48772,                0.51533,                0.18467,                 2.8312,                 1.8427,                 1.0427,              0.0010795,              0.0010795,              0.0010795
                    180,                 1.7186,                 0.9962,                0.89662,                0.82943,                0.48772,                0.51533,                0.18467,                 2.8312,                 1.8427,                 1.0427,              0.0010762,              0.0010762,              0.0010762
                    181,                  1.735,                0.94728,                0.88825,                 0.7651,                0.46429,                0.46959,                0.14558,                 3.0202,                 2.2928,                 1.0542,              0.0010729,              0.0010729,              0.0010729
                    182,                 1.9089,                0.98233,                0.89425,                 0.7651,                0.46429,                0.46959,                0.14558,                 3.0202,                 2.2928,                 1.0542,              0.0010696,              0.0010696,              0.0010696
                    183,                 1.9007,                 1.0548,                0.90104,                 0.6504,                 0.5119,                0.46074,                0.16253,                 2.9832,                 2.7399,                 1.0475,              0.0010663,              0.0010663,              0.0010663
                    184,                 1.6701,                 1.0648,                0.89097,                 0.6504,                 0.5119,                0.46074,                0.16253,                 2.9832,                 2.7399,                 1.0475,               0.001063,               0.001063,               0.001063
                    185,                 2.0705,                  1.117,                0.89014,                0.61319,                 0.5119,                0.46258,                 0.2186,                  2.834,                 3.0601,                 1.0276,              0.0010597,              0.0010597,              0.0010597
                    186,                  1.985,                 1.0743,                0.91978,                0.61319,                 0.5119,                0.46258,                 0.2186,                  2.834,                 3.0601,                 1.0276,              0.0010564,              0.0010564,              0.0010564
                    187,                 1.7426,                 0.9272,                0.91766,                0.64153,                0.60714,                0.49378,                0.23926,                 2.6274,                 2.4662,                0.98746,              0.0010531,              0.0010531,              0.0010531
                    188,                 1.8332,                 0.9956,                0.89419,                0.64153,                0.60714,                0.49378,                0.23926,                 2.6274,                 2.4662,                0.98746,              0.0010498,              0.0010498,              0.0010498
                    189,                 2.0836,                 1.0864,                0.94575,                0.63821,                0.58686,                0.50769,                0.24202,                 2.5554,                 1.9509,                0.97175,              0.0010465,              0.0010465,              0.0010465
                    190,                  1.811,                0.83644,                0.93382,                0.63821,                0.58686,                0.50769,                0.24202,                 2.5554,                 1.9509,                0.97175,              0.0010432,              0.0010432,              0.0010432
                    191,                 1.8158,                 1.2953,                0.88771,                0.42586,                0.45833,                0.41171,                0.16808,                 2.5055,                 1.7347,                0.96177,              0.0010399,              0.0010399,              0.0010399
                    192,                 1.8666,                 1.1907,                0.90534,                0.42586,                0.45833,                0.41171,                0.16808,                 2.5055,                 1.7347,                0.96177,              0.0010366,              0.0010366,              0.0010366
                    193,                 1.8095,                 1.1103,                0.79069,                0.21147,                0.30952,                0.25165,                 0.1069,                 2.5755,                 1.8129,                0.97463,              0.0010333,              0.0010333,              0.0010333
                    194,                 1.9391,                 1.1013,                0.90513,                0.21147,                0.30952,                0.25165,                 0.1069,                 2.5755,                 1.8129,                0.97463,                0.00103,                0.00103,                0.00103
                    195,                  1.825,                0.92522,                0.90697,                0.37167,                0.16667,                0.21846,                0.09731,                 2.7296,                 1.9072,                 1.0124,              0.0010267,              0.0010267,              0.0010267
                    196,                 1.7127,                0.85836,                0.86767,                0.37167,                0.16667,                0.21846,                0.09731,                 2.7296,                 1.9072,                 1.0124,              0.0010234,              0.0010234,              0.0010234
                    197,                 1.8716,                 1.0245,                0.93618,                0.29535,                0.21429,                0.21807,                0.08793,                 2.8123,                 1.9116,                 1.0439,              0.0010201,              0.0010201,              0.0010201
                    198,                 1.9966,                 1.0335,                0.88868,                0.29535,                0.21429,                0.21807,                0.08793,                 2.8123,                 1.9116,                 1.0439,              0.0010168,              0.0010168,              0.0010168
                    199,                 2.0042,                 1.1194,                 0.9735,                0.42538,                0.40668,                0.29097,                0.09357,                 2.7753,                 1.9082,                   1.04,              0.0010135,              0.0010135,              0.0010135
                    200,                 1.6614,                0.87403,                0.88302,                0.42538,                0.40668,                0.29097,                0.09357,                 2.7753,                 1.9082,                   1.04,              0.0010102,              0.0010102,              0.0010102
                    201,                 1.9406,                 1.6141,                0.92758,                0.50365,                0.33929,                0.32018,                0.12167,                 2.5894,                 1.8188,                 1.0042,              0.0010069,              0.0010069,              0.0010069
                    202,                 1.6123,                0.86883,                0.89843,                0.50365,                0.33929,                0.32018,                0.12167,                 2.5894,                 1.8188,                 1.0042,              0.0010036,              0.0010036,              0.0010036
                    203,                 2.0179,                 1.1817,                0.90382,                0.68463,                0.68798,                0.63143,                0.20102,                 2.3347,                 1.6825,                0.96145,              0.0010003,              0.0010003,              0.0010003
                    204,                 2.0248,                 1.1365,                0.89848,                0.68463,                0.68798,                0.63143,                0.20102,                 2.3347,                 1.6825,                0.96145,             0.00099697,             0.00099697,             0.00099697
                    205,                 1.9025,                0.90252,                0.90162,                 0.7054,                0.70716,                0.63731,                0.27623,                 2.3153,                 1.7109,                0.94884,             0.00099367,             0.00099367,             0.00099367
                    206,                 1.7909,                 0.8999,                0.91241,                 0.7054,                0.70716,                0.63731,                0.27623,                 2.3153,                 1.7109,                0.94884,             0.00099036,             0.00099036,             0.00099036
                    207,                 1.7674,                0.96314,                0.89381,                0.73236,                0.63123,                0.62721,                 0.2607,                 2.3854,                 1.6673,                0.95103,             0.00098706,             0.00098706,             0.00098706
                    208,                 1.7476,                 0.8798,                0.87059,                0.73236,                0.63123,                0.62721,                 0.2607,                 2.3854,                 1.6673,                0.95103,             0.00098376,             0.00098376,             0.00098376
                    209,                 1.8054,                0.94033,                0.78732,                 0.7783,                0.39286,                0.55895,                0.22534,                  2.461,                  1.726,                0.95678,             0.00098046,             0.00098046,             0.00098046
                    210,                 1.2084,                 1.2438,                0.64442,                 0.7783,                0.39286,                0.55895,                0.22534,                  2.461,                  1.726,                0.95678,             0.00097716,             0.00097716,             0.00097716
                    211,                 1.5515,                0.83616,                0.84763,                 0.4547,                0.34245,                0.45046,                0.16101,                 2.5341,                 1.7881,                0.96827,             0.00097386,             0.00097386,             0.00097386
                    212,                 1.6619,                0.87012,                0.86928,                 0.4547,                0.34245,                0.45046,                0.16101,                 2.5341,                 1.7881,                0.96827,             0.00097056,             0.00097056,             0.00097056
                    213,                 1.2941,                 1.2691,                 0.6555,                0.53882,                0.36361,                0.41718,                0.16024,                 2.5255,                 1.7834,                0.96862,             0.00096726,             0.00096726,             0.00096726
                    214,                  1.942,                 1.0217,                 0.8578,                0.53882,                0.36361,                0.41718,                0.16024,                 2.5255,                 1.7834,                0.96862,             0.00096396,             0.00096396,             0.00096396
                    215,                 1.8115,                 0.9276,                0.85985,                0.77261,                 0.4881,                0.53252,                0.21986,                  2.491,                 1.7522,                0.96196,             0.00096066,             0.00096066,             0.00096066
                    216,                 1.5549,                0.78875,                0.87481,                0.77261,                 0.4881,                0.53252,                0.21986,                  2.491,                 1.7522,                0.96196,             0.00095736,             0.00095736,             0.00095736
                    217,                 1.7537,                 1.0171,                0.91851,                0.70064,                0.55817,                0.54351,                0.21816,                 2.4596,                 1.6567,                0.96168,             0.00095406,             0.00095406,             0.00095406
                    218,                 1.5952,                0.96292,                0.84827,                0.70064,                0.55817,                0.54351,                0.21816,                 2.4596,                 1.6567,                0.96168,             0.00095076,             0.00095076,             0.00095076
                    219,                 1.5981,                0.84872,                0.87707,                0.71549,                0.57288,                0.56549,                0.23016,                 2.4309,                  1.593,                 0.9587,             0.00094746,             0.00094746,             0.00094746
                    220,                 1.2203,                0.75974,                0.66683,                0.71549,                0.57288,                0.56549,                0.23016,                 2.4309,                  1.593,                 0.9587,             0.00094416,             0.00094416,             0.00094416
                    221,                 1.7245,                0.82894,                 0.8541,                0.74786,                0.58333,                0.60245,                0.23471,                 2.4682,                 1.5935,                0.96517,             0.00094085,             0.00094085,             0.00094085
                    222,                 1.7906,                 1.1108,                0.90623,                0.74786,                0.58333,                0.60245,                0.23471,                 2.4682,                 1.5935,                0.96517,             0.00093755,             0.00093755,             0.00093755
                    223,                 1.8473,                 1.0437,                0.83783,                0.56138,                0.43452,                  0.504,                0.21842,                 2.4778,                 1.6167,                0.97171,             0.00093425,             0.00093425,             0.00093425
                    224,                 1.6108,                0.77424,                0.89953,                0.56138,                0.43452,                  0.504,                0.21842,                 2.4778,                 1.6167,                0.97171,             0.00093095,             0.00093095,             0.00093095
                    225,                 2.0763,                 1.1396,                0.94993,                0.49765,                0.55357,                 0.4968,                0.22239,                 2.3589,                 1.6517,                0.95847,             0.00092765,             0.00092765,             0.00092765
                    226,                 1.6403,                0.91882,                0.90595,                0.49765,                0.55357,                 0.4968,                0.22239,                 2.3589,                 1.6517,                0.95847,             0.00092435,             0.00092435,             0.00092435
                    227,                 1.7169,                0.89344,                0.88273,                0.74606,                0.67857,                0.56429,                 0.2408,                 2.3181,                 1.6749,                0.95114,             0.00092105,             0.00092105,             0.00092105
                    228,                 1.6108,                0.81291,                0.85359,                0.74606,                0.67857,                0.56429,                 0.2408,                 2.3181,                 1.6749,                0.95114,             0.00091775,             0.00091775,             0.00091775
                    229,                 1.8419,                 1.4532,                0.92061,                0.74828,                0.67199,                0.55964,                0.25025,                 2.3576,                 1.6819,                0.95522,             0.00091445,             0.00091445,             0.00091445
                    230,                 1.6825,                0.81106,                0.91071,                0.74828,                0.67199,                0.55964,                0.25025,                 2.3576,                 1.6819,                0.95522,             0.00091115,             0.00091115,             0.00091115
                    231,                 1.9061,                 1.0712,                0.86256,                0.74461,                 0.6325,                0.57104,                0.22539,                 2.4633,                 1.7391,                0.97246,             0.00090785,             0.00090785,             0.00090785
                    232,                 1.6075,                0.82736,                0.87844,                0.74461,                 0.6325,                0.57104,                0.22539,                 2.4633,                 1.7391,                0.97246,             0.00090455,             0.00090455,             0.00090455
                    233,                 1.9259,                 1.4652,                0.76825,                0.75167,                0.67615,                0.70784,                0.25271,                 2.4585,                 1.7369,                0.96634,             0.00090125,             0.00090125,             0.00090125
                    234,                  1.591,                0.79825,                0.89731,                0.75167,                0.67615,                0.70784,                0.25271,                 2.4585,                 1.7369,                0.96634,             0.00089795,             0.00089795,             0.00089795
                    235,                 1.6109,                0.83432,                0.85634,                0.74198,                0.65476,                0.69093,                0.27424,                 2.4254,                  1.634,                0.95214,             0.00089465,             0.00089465,             0.00089465
                    236,                 1.7781,                0.87191,                0.92315,                0.74198,                0.65476,                0.69093,                0.27424,                 2.4254,                  1.634,                0.95214,             0.00089134,             0.00089134,             0.00089134
                    237,                 1.5783,                0.74661,                 0.8613,                0.73809,                 0.6634,                0.67337,                0.24363,                 2.4235,                 1.6073,                0.95588,             0.00088804,             0.00088804,             0.00088804
                    238,                 1.6487,                0.81792,                0.87389,                0.73809,                 0.6634,                0.67337,                0.24363,                 2.4235,                 1.6073,                0.95588,             0.00088474,             0.00088474,             0.00088474
                    239,                  1.375,                0.76386,                 0.8588,                0.80738,                0.56642,                0.62204,                0.22385,                 2.3429,                 1.5925,                0.94683,             0.00088144,             0.00088144,             0.00088144
                    240,                 1.5713,                0.78004,                0.85215,                0.80738,                0.56642,                0.62204,                0.22385,                 2.3429,                 1.5925,                0.94683,             0.00087814,             0.00087814,             0.00087814
                    241,                 1.9021,                0.95603,                0.88149,                0.76812,                 0.5287,                0.56869,                0.18091,                 2.4062,                 1.5855,                0.96128,             0.00087484,             0.00087484,             0.00087484
                    242,                 1.3469,                0.74315,                0.86877,                0.76812,                 0.5287,                0.56869,                0.18091,                 2.4062,                 1.5855,                0.96128,             0.00087154,             0.00087154,             0.00087154
                    243,                 1.6877,                0.83991,                0.83545,                0.37631,                0.48362,                0.34448,                0.12457,                 2.5537,                 1.6853,                0.99692,             0.00086824,             0.00086824,             0.00086824
                    244,                 2.0963,                0.98991,                0.86515,                0.37631,                0.48362,                0.34448,                0.12457,                 2.5537,                 1.6853,                0.99692,             0.00086494,             0.00086494,             0.00086494
                    245,                 1.4506,                0.78563,                0.84231,                0.37962,                0.40585,                0.31488,                0.10801,                 2.6566,                 1.8475,                 1.0146,             0.00086164,             0.00086164,             0.00086164
                    246,                 1.7781,                0.82156,                0.83073,                0.37962,                0.40585,                0.31488,                0.10801,                 2.6566,                 1.8475,                 1.0146,             0.00085834,             0.00085834,             0.00085834
                    247,                 1.6705,                0.86657,                0.85175,                0.66741,                0.50731,                0.45336,                0.14058,                 2.7217,                 1.9283,                 1.0182,             0.00085504,             0.00085504,             0.00085504
                    248,                 1.9262,                0.85742,                0.84542,                0.66741,                0.50731,                0.45336,                0.14058,                 2.7217,                 1.9283,                 1.0182,             0.00085174,             0.00085174,             0.00085174
                    249,                  1.699,                0.76749,                0.85401,                0.67663,                0.57842,                0.65835,                0.18598,                 2.6574,                  1.899,                 1.0034,             0.00084844,             0.00084844,             0.00084844
                    250,                 1.6005,                0.73704,                0.83938,                0.67663,                0.57842,                0.65835,                0.18598,                 2.6574,                  1.899,                 1.0034,             0.00084514,             0.00084514,             0.00084514
