                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.5679,                  2.069,                 1.0749,                0.30953,                0.23243,                0.26649,                0.07035,                 2.4716,                 2.3455,                0.98131,              0.0015548,              0.0015548,              0.0015548
                     36,                 2.9743,                 2.1656,                 1.0473,                0.30953,                0.23243,                0.26649,                0.07035,                 2.4716,                 2.3455,                0.98131,              0.0015515,              0.0015515,              0.0015515
                     37,                 2.1705,                 1.9922,                 1.0639,                0.86361,                0.19048,                 0.2975,                0.12467,                 2.2978,                 1.9028,                0.93723,              0.0015482,              0.0015482,              0.0015482
                     38,                 2.6158,                 1.9644,                 1.0662,                0.86361,                0.19048,                 0.2975,                0.12467,                 2.2978,                 1.9028,                0.93723,              0.0015449,              0.0015449,              0.0015449
                     39,                 2.6086,                  1.933,                 1.0193,                0.79094,                0.33333,                  0.393,                0.17163,                 2.2783,                 2.2839,                0.92887,              0.0015416,              0.0015416,              0.0015416
                     40,                 2.7276,                 1.9051,                 1.0687,                0.79094,                0.33333,                  0.393,                0.17163,                 2.2783,                 2.2839,                0.92887,              0.0015383,              0.0015383,              0.0015383
                     41,                 2.6614,                 1.9147,                 1.0385,                0.73364,                 0.3869,                0.48173,                0.15539,                  2.433,                 1.7926,                0.96485,               0.001535,               0.001535,               0.001535
                     42,                 2.7808,                 2.0656,                 1.0681,                0.73364,                 0.3869,                0.48173,                0.15539,                  2.433,                 1.7926,                0.96485,              0.0015317,              0.0015317,              0.0015317
                     43,                 2.5113,                  1.739,                 1.0793,                0.53036,                0.43452,                0.47109,                0.14048,                  2.605,                 2.4769,                 1.0014,              0.0015284,              0.0015284,              0.0015284
                     44,                 2.2639,                 1.7929,                0.93348,                0.53036,                0.43452,                0.47109,                0.14048,                  2.605,                 2.4769,                 1.0014,              0.0015251,              0.0015251,              0.0015251
                     45,                 2.6749,                 1.8231,                 1.0804,                0.51311,                0.45833,                0.37484,                0.12305,                 2.9384,                 4.2803,                 1.1241,              0.0015218,              0.0015218,              0.0015218
                     46,                 2.5409,                 2.0888,                 1.0924,                0.51311,                0.45833,                0.37484,                0.12305,                 2.9384,                 4.2803,                 1.1241,              0.0015185,              0.0015185,              0.0015185
                     47,                 2.7472,                 1.6153,                 1.0397,                0.27897,                0.57738,                0.44559,                0.15815,                 2.4998,                 2.8946,                0.99782,              0.0015152,              0.0015152,              0.0015152
                     48,                 2.5726,                 1.5732,                0.98357,                0.27897,                0.57738,                0.44559,                0.15815,                 2.4998,                 2.8946,                0.99782,              0.0015119,              0.0015119,              0.0015119
                     49,                 2.4899,                 1.6963,                0.99963,                0.72962,                0.33333,                0.24814,                0.10719,                 2.2762,                 2.6197,                0.95473,              0.0015086,              0.0015086,              0.0015086
                     50,                  2.377,                 1.5316,                0.98467,                0.72962,                0.33333,                0.24814,                0.10719,                 2.2762,                 2.6197,                0.95473,              0.0015053,              0.0015053,              0.0015053
                     51,                 2.3347,                 1.6686,                 1.0315,                0.70055,                0.33333,                0.23598,                0.09046,                 2.3236,                 2.7322,                0.96682,               0.001502,               0.001502,               0.001502
                     52,                 2.4723,                 2.2582,                   1.09,                0.70055,                0.33333,                0.23598,                0.09046,                 2.3236,                 2.7322,                0.96682,              0.0014987,              0.0014987,              0.0014987
                     53,                 2.5208,                 1.7923,                 1.0441,                0.18371,                0.72619,                0.42772,                0.12021,                 2.3966,                 3.0253,                0.98441,              0.0014954,              0.0014954,              0.0014954
                     54,                 3.0418,                 2.2701,                 1.0747,                0.18371,                0.72619,                0.42772,                0.12021,                 2.3966,                 3.0253,                0.98441,              0.0014921,              0.0014921,              0.0014921
                     55,                 2.6902,                  1.661,                 1.0518,                0.69098,                0.33333,                0.33713,                0.10551,                  2.425,                 2.3116,                 0.9989,              0.0014888,              0.0014888,              0.0014888
                     56,                 2.6749,                 1.7014,                 1.0917,                0.69098,                0.33333,                0.33713,                0.10551,                  2.425,                 2.3116,                 0.9989,              0.0014855,              0.0014855,              0.0014855
                     57,                 2.6608,                 1.6549,                 1.0279,                0.20137,                0.61498,                 0.3126,                0.10208,                 2.4797,                 1.7711,                0.99656,              0.0014822,              0.0014822,              0.0014822
                     58,                 2.2443,                 1.6282,                0.98423,                0.20137,                0.61498,                 0.3126,                0.10208,                 2.4797,                 1.7711,                0.99656,              0.0014789,              0.0014789,              0.0014789
                     59,                 2.1966,                 1.6839,                0.98865,                0.47445,                0.43452,                0.47695,                0.20824,                 2.4159,                 1.7233,                0.99231,              0.0014756,              0.0014756,              0.0014756
                     60,                 2.6052,                 1.9478,                 1.1118,                0.47445,                0.43452,                0.47695,                0.20824,                 2.4159,                 1.7233,                0.99231,              0.0014723,              0.0014723,              0.0014723
                     61,                 2.3234,                 1.7199,                0.97678,                0.25286,                0.57738,                0.40768,                0.17797,                 2.3651,                 2.4825,                0.96342,               0.001469,               0.001469,               0.001469
                     62,                 2.0694,                 1.3174,                0.95713,                0.25286,                0.57738,                0.40768,                0.17797,                 2.3651,                 2.4825,                0.96342,              0.0014657,              0.0014657,              0.0014657
                     63,                 2.2915,                 1.4692,                 1.0429,                0.76721,                0.33333,                0.38909,                0.14728,                 2.2762,                 2.1538,                0.92024,              0.0014624,              0.0014624,              0.0014624
                     64,                 2.7497,                 1.9948,                 1.0857,                0.76721,                0.33333,                0.38909,                0.14728,                 2.2762,                 2.1538,                0.92024,              0.0014591,              0.0014591,              0.0014591
                     65,                 2.5664,                 1.5849,                 1.0389,                0.49782,                0.52976,                0.49802,                0.19391,                 2.2394,                 1.8213,                0.91409,              0.0014558,              0.0014558,              0.0014558
                     66,                 2.4381,                 1.6925,                  1.073,                0.49782,                0.52976,                0.49802,                0.19391,                 2.2394,                 1.8213,                0.91409,              0.0014525,              0.0014525,              0.0014525
                     67,                  2.114,                  1.483,                0.96687,                0.37831,                0.65019,                0.51105,                0.18205,                 2.2309,                 1.6586,                0.92141,              0.0014492,              0.0014492,              0.0014492
                     68,                 2.6406,                 1.4886,                0.96909,                0.37831,                0.65019,                0.51105,                0.18205,                 2.2309,                 1.6586,                0.92141,              0.0014459,              0.0014459,              0.0014459
                     69,                 2.3562,                 1.3702,                0.93352,                0.53985,                0.80357,                0.61231,                0.20996,                 2.3025,                 1.6893,                0.91893,              0.0014426,              0.0014426,              0.0014426
                     70,                  2.511,                 1.7984,                 1.0101,                0.53985,                0.80357,                0.61231,                0.20996,                 2.3025,                 1.6893,                0.91893,              0.0014393,              0.0014393,              0.0014393
                     71,                 2.4016,                 1.5007,                0.93735,                0.56647,                0.70181,                0.64802,                0.26338,                 2.2528,                 1.4489,                0.91381,               0.001436,               0.001436,               0.001436
                     72,                 2.5583,                 1.6432,                0.99815,                0.56647,                0.70181,                0.64802,                0.26338,                 2.2528,                 1.4489,                0.91381,              0.0014327,              0.0014327,              0.0014327
                     73,                  2.131,                 1.2627,                 1.0482,                0.42717,                0.80357,                0.63161,                0.25208,                 2.2283,                 1.3794,                0.91547,              0.0014294,              0.0014294,              0.0014294
                     74,                  2.075,                 1.4488,                0.96145,                0.42717,                0.80357,                0.63161,                0.25208,                 2.2283,                 1.3794,                0.91547,              0.0014261,              0.0014261,              0.0014261
                     75,                 2.2575,                 1.4447,                0.94407,                0.59038,                0.43452,                0.55843,                0.19252,                 2.3728,                 1.4838,                0.94291,              0.0014228,              0.0014228,              0.0014228
