               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  40,            0.074192,            0.032343,            0.014699,                   0,                   0,                   0,                   0,            0.078357,            0.046524,            0.017926,           0.0092278,           0.0092278,           0.0092278
                  41,            0.092328,            0.032317,            0.018389,                   0,                   0,                   0,                   0,            0.078357,            0.046524,            0.017926,            0.009208,            0.009208,            0.009208
                  42,            0.089782,            0.039377,            0.018167,                   0,                   0,                   0,                   0,            0.078365,             0.04493,            0.017285,           0.0091882,           0.0091882,           0.0091882
                  43,            0.088341,            0.030681,            0.018569,                   0,                   0,                   0,                   0,            0.078365,             0.04493,            0.017285,           0.0091684,           0.0091684,           0.0091684
                  44,             0.10873,            0.049139,            0.023509,                   0,                   0,                   0,                   0,            0.078037,            0.045287,            0.017706,           0.0091486,           0.0091486,           0.0091486
                  45,            0.091182,            0.043849,            0.018365,                   0,                   0,                   0,                   0,            0.078037,            0.045287,            0.017706,           0.0091288,           0.0091288,           0.0091288
                  46,            0.078765,            0.033237,            0.016107,                   0,                   0,                   0,                   0,            0.080617,             0.04353,            0.018561,            0.009109,            0.009109,            0.009109
                  47,            0.098645,            0.044136,            0.020539,                   0,                   0,                   0,                   0,            0.080617,             0.04353,            0.018561,           0.0090892,           0.0090892,           0.0090892
                  48,            0.090749,            0.036365,            0.016973,                   0,                   0,                   0,                   0,            0.078219,            0.044222,            0.017456,           0.0090694,           0.0090694,           0.0090694
                  49,            0.090935,            0.032081,            0.018095,                   0,                   0,                   0,                   0,            0.078219,            0.044222,            0.017456,           0.0090496,           0.0090496,           0.0090496
                  50,             0.10749,            0.038103,             0.02197,                   0,                   0,                   0,                   0,            0.076532,            0.048414,            0.017993,           0.0090298,           0.0090298,           0.0090298
                  51,            0.090022,            0.033332,            0.018305,                   0,                   0,                   0,                   0,            0.076532,            0.048414,            0.017993,             0.00901,             0.00901,             0.00901
                  52,             0.10868,            0.031778,            0.020854,                   0,                   0,                   0,                   0,             0.07689,            0.048558,            0.018054,           0.0089902,           0.0089902,           0.0089902
                  53,            0.086335,             0.03897,            0.018201,                   0,                   0,                   0,                   0,             0.07689,            0.048558,            0.018054,           0.0089704,           0.0089704,           0.0089704
                  54,            0.090326,            0.030547,            0.020286,                   0,                   0,                   0,                   0,            0.077014,            0.046708,            0.018933,           0.0089506,           0.0089506,           0.0089506
                  55,             0.10011,            0.042754,            0.020572,                   0,                   0,                   0,                   0,            0.077014,            0.046708,            0.018933,           0.0089308,           0.0089308,           0.0089308
                  56,             0.08915,            0.032476,            0.017596,                   0,                   0,                   0,                   0,            0.078312,            0.044814,            0.018439,            0.008911,            0.008911,            0.008911
                  57,            0.098758,            0.038565,            0.018953,                   0,                   0,                   0,                   0,            0.078312,            0.044814,            0.018439,           0.0088912,           0.0088912,           0.0088912
                  58,            0.070363,             0.03079,            0.014284,                   0,                   0,                   0,                   0,             0.07771,             0.04448,            0.018701,           0.0088714,           0.0088714,           0.0088714
                  59,            0.083589,            0.029926,            0.015097,                   0,                   0,                   0,                   0,             0.07771,             0.04448,            0.018701,           0.0088516,           0.0088516,           0.0088516
